PAIS;POL;SERVICIO - VIA;POD; W/M ; BAF W/M ; MINIMO ;FRECUENCIA;TT APROX;
BRASIL;CURITIBA;SANTOS y MANZANILLO, PA;BUENAVENTURA;77;10;120;QUINCENAL;26
BRASIL;RIO GRANDE;SANTOS y MANZANILLO, PA;BUENAVENTURA;77;10;120;QUINCENAL;26
BRASIL;BELO HORIZONTE;SANTOS y MANZANILLO, PA;BUENAVENTURA;67;10;120;QUINCENAL;26
BRASIL;ITAJAI;SANTOS y MANZANILLO, PA;BUENAVENTURA;77;10;120;QUINCENAL;26
BRASIL;SANTOS;MANZANILLO, PA;BUENAVENTURA;62;10;120;QUINCENAL;25
ARGENTINA;BUENOS AIRES;DIRECTO;CARTAGENA;16;10;50;SEMANAL;26;
PERU;CALLAO;DIRECTO;BUENAVENTURA;5;5;50;SEMANAL;5;
PANAMA;COLON;DIRECTO;CARTAGENA;9;10;45;SEMANAL;2;
PANAMA;COLON;DIRECTO;BARRANQUILLA;45;10;70;QUINCENAL;3;
CHILE;SAN ANTONIO;DIRECTO;BUENAVENTURA;10;10;50;SEMANAL;9;
MEXICO;VERACRUZ;DIRECTO;CARTAGENA;20;10;50;SEMANAL;7;
MEXICO;ALTAMIRA;DIRECTO;CARTAGENA;25;10;50;QUINCENAL;8;
MEXICO;MANZANILLO;DIRECTO;BUENAVENTURA;10;10;30;SEMANAL;7;
